Resorts (532 Found),Avg User Rating,"Family /
Adults Only",Direct USD 2026,Direct CAD 2026,Value Ratio,AAA,Forbes,Hotel Class,Hyatt,Northstar,Deal Breakers?,Country,Area,Airport,Direct Flight,To / From Airport,Hotel Brand,Hotel Style,Amenities,Special Room Options,"Food, Beach, Party","Guaranteed
Connecting Rooms",Beds,"High
Rise",# of Rooms,Year Built,Year Renovated,Floors
O2 Beach Club & Spa,89.7,Family,"$13,763.20","$19,204.55",0.70,,,5,,NYR,,Barbados,Barbados,Grantley Adams,TRUE,0h 14m,,"Modern, Trendy","Beach, Gym, Buffet, Swim Up Bar, Snorkelling, Evening Entertainment, Spa, Babysitting, Yoga Classes, Adult Pool, Wi-Fi Free","2 Bedroom Suites, Adults Only Rooms",,,1 King and Sofa Bed or 2 Queen,TRUE,130,2011,2021,7
Secrets Royal Beach Punta Cana,89.5,Adults Only,"$3,815.00","$5,323.28",2.49,4,,5,C,8,,Dominican Republic,Punta Cana,Punta Cana,TRUE,0h 25m,Hyatt,"Value, Green","Beach, Gym, Casino, Buffet, Swim Up Bar, Diving, Tennis, Evening Entertainment, Spa, Room Service, Nightclub, Restaurants Don't Require Reservations",Plunge Pool Rooms,Great Beach,,1 King or 2 Double,FALSE,641,,2020,3
El Dorado Royale,89.5,Adults Only,"$4,186.00","$5,840.96",2.27,4,,5,,9,,Mexico,Playa del Carmen,Cancun,TRUE,0h 30m,Karisma,"Bay View, Great View","Beach, Gym, Tennis, Lazy River, Room Service, Swim Up Bar, Fishing, Buffet, Evening Entertainment, Nightclub, Spa, Wi-Fi Free","Beach Front Rooms, Swim Up Rooms",Great Beach,,1 King or 2 Queen,FALSE,478,2000,,3
Hedonism II (Clothing optional),89.5,Adults Only,"$4,200.00","$5,860.49",2.26,,,4,,6,Clothing Optional,Jamaica,Negril,Sangster,TRUE,1h 18m,,"Green, Harbour View","Beach, Gym, Yoga Classes, Buffet, Swim Up Bar, Diving, Tennis, Windsurfing, Nightclub, Snorkelling, Watersports Equipment Rentals, Evening Entertainment, Spa",,,,1 King,FALSE,280,1978,2015,2
TRS Coral Hotel,89.5,Adults Only,"$4,337.56","$6,052.44",2.19,4,,5,,7,,Mexico,Playa Mujeres,Cancun,TRUE,0h 42m,Wyndham Hotels,"Business, Lagoon View","Beach, Heated Pool, Gym, Tennis, Room Service, Nightclub, Spa, Buffet, Swim Up Bar, Evening Entertainment, Wi-Fi Free",Swim Up Rooms,Great Food,,1 King or 2 Double,FALSE,469,2018,,
El Dorado Casitas Royale by Karisma,89.5,Adults Only,"$5,096.00","$7,110.73",1.86,4,,4.5,,9,,Mexico,Playa del Carmen,Cancun,TRUE,0h 29m,Karisma,"Modern, Quiet","Beach, Gym, Horseback Riding, Room Service, Swim Up Bar, Tennis, Nightclub, Spa, Lazy River, Buffet","Beach Front Rooms, Swim Up Rooms, Plunge Pool Rooms",Great Food,,1 King,FALSE,203,2000,2004,2
Secrets Puerto Los Cabos Golf & Spa Resort,89.5,Adults Only,"$5,544.00","$7,735.85",1.71,4,,5,D,8,,Mexico,San Jose del Cabo,Los Cabos,TRUE,0h 32m,Hyatt,"Green, Mountain View","Gym, Archery, Yoga Classes, Room Service, Swim Up Bar, Golf Course, Fishing, Nightclub, Spa, Buffet, Mini Golf, Evening Entertainment, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,Great Food,,1 King or 2 Double,FALSE,500,2013,,4
Paradisus Palma Real Golf & Spa Resort,89.5,Family,"$6,391.00","$8,917.71",1.49,4,,5,,8,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 20m,Melia,"Trendy, Business","Beach, Kids Club, Lazy River, Gym, Diving, Yoga Classes, Room Service, Swim Up Bar, Tennis, Evening Entertainment, Babysitting, Adult Pool, Buffet, Golf Course, Watersports Equipment Rentals, Nightclub, Spa, Waterpark For Little Kids","2 Bedroom Suites, Adults Only Rooms, Swim Up Rooms",,Yes,1 King or 2 Double,FALSE,596,2010,2022,3
Grand Fiesta Americana Los Cabos All Inclusive Golf & Spa,89.5,Family,"$6,576.71","$9,176.85",1.44,4,Recommended,5,,8,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 36m,Fiesta Americana Travelty,"Business, Family Resort","Beach, Kids Club, Lazy River, Heated Pool, Gym, Archery, Yoga Classes, Adult Pool, Buffet, Swim Up Bar, Snorkelling, Fishing, Nightclub, Babysitting, Room Service, Evening Entertainment","2 Bedroom Suites, Family Suite, Plunge Pool Rooms",,,1 King or 2 Double,FALSE,248,1999,2016,8
Moon Palace The Grand - Cancún,89.5,Family,"$9,688.00","$13,518.20",0.98,4,,5,,8,,Mexico,Cancun,Cancun,TRUE,0h 13m,Palace Resorts,"Park View, Luxury","Beach, Kids Club, Teen Club, Lazy River, Pool Slide, Water Feature, Arcade, Flowrider, Heated Pool, Gym, Bicycles Available, Swim Up Bar, Golf Course, Evening Entertainment, Nightclub, Babysitting, Adult Pool, Buffet, Tennis, Spa, Wi-Fi Free, Waterpark For Little Kids, Waterpark For Big Kids","Family Suite, Swim Up Rooms",,Yes,1 King or 2 Double - 1-2 Rollaway Beds avail,FALSE,1300,2016,,
Club Med Columbus - Bahamas,89.5,Family,"$13,107.08","$18,289.03",0.72,,,4,,NYR,,Bahamas,San Salvador,Lynden Pindling,TRUE,0h 14m,Club Med,"Quiet, Family","Beach, Teen Club, Kids Club, Kids Club for Under 4, Tennis, Spa, Gym, Bicycles Available, Buffet, Diving, Evening Entertainment, Nightclub",Family Suite,,Yes,1 King,FALSE,239,1992,2022,1
JW Marriott Guanacaste Resort & Spa,89.5,Family,,,,4,,5,,9,,Costa Rica,Playa Avellanas,Liberia,TRUE,1h 20m,Marriott,"Quiet, Family","Gym, Bicycles Available, Buffet, Golf Course, Horseback Riding, Kids Club, Spa, Beach, Yoga Classes, Room Service, Hiking, Nightclub, Wi-Fi Paid",Plunge Pool Rooms,,,2 Double,FALSE,310,2008,2013,3
Hodelpa Garden Suites Golf & Convention Centre,89.3,Family,"$1,869.00","$2,607.92",4.98,NYR,,4,,7,,Dominican Republic,Juan Dolio,Punta Cana,TRUE,1h 38m,Hodelpa Hotels,"Family, Business","Gym, Room Service, Evening Entertainment, Tennis, Buffet, Swim Up Bar, Wi-Fi Free",,,,1 King or 2 Double,FALSE,126,1997,2011,2
Vila Galé Touros,89.3,Family,"$2,510.19","$3,502.61",3.70,,,5,,,,Brazil,Touros,Greater Natal,FALSE,1h 18m,,"Family, Trendy","Gym, Swim Up Bar, Kids Club, Beach, Evening Entertainment, Spa, Buffet, Wi-Fi Free","Family Suite, Villas",,,2 Queen,FALSE,539,2017,,7
Sunset Plaza Beach Resort,89.3,Family,"$3,552.41","$4,956.87",2.62,4,,4.5,,8,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 17m,,"Value, Modern","Beach, Kids Club, Heated Pool, Gym, Horseback Riding, Room Service, Spa, Adult Pool, Swim Up Bar, Tennis, Fishing, Wi-Fi Free",,,,2 Queen,TRUE,100,,2011,16
Barceló Maya Tropical,89.3,Family,"$3,679.41","$5,134.08",2.53,3,,5,,6,,Mexico,Puerto Aventuras,Cancun,TRUE,1h 4m,Barcelo,"Park View, Quiet","Beach, Kids Club, Pool Slide, Water Feature, Gym, Casino, Swim Up Bar, Diving, Snorkelling, Nightclub, Spa, Babysitting, Buffet, Mini Golf, Tennis, Evening Entertainment, Wi-Fi Paid, Waterpark For Little Kids",Family Suite,,,1 King or 2 Double,FALSE,479,1999,,3
Hard Rock Hotel Vallarta,89.3,Family,"$3,809.61","$5,315.76",2.44,4,,5,,8,,Mexico,Nuevo Vallarta,Ordaz,TRUE,0h 21m,Legendary Vacation Club,"Trendy, Centrally Located","Beach, Kids Club, Teen Club, Pool Slide, Water Feature, Arcade, Heated Pool, Gym, Room Service, Swim Up Bar, Evening Entertainment, Nightclub, Babysitting, Fishing, Spa, Restaurants Don't Require Reservations, Buffet, Wi-Fi Free","2 Bedroom Suites, Family Suite",,,1 King or 2 Double,FALSE,348,2002,,8
Temptation Cancun Resort (Optional topless areas),89.3,Adults Only,"$4,391.50","$6,127.70",2.12,NYR,,4,,7,Optional Topless Areas,Mexico,Cancun,Cancun,TRUE,0h 26m,Desire,"Marina View, Art Deco Style","Beach, Gym, Windsurfing, Yoga Classes, Room Service, Swim Up Bar, Nightclub, Spa, Buffet, Evening Entertainment",,Great for Parties,,1 King or 2 Double,FALSE,430,1974,2017,3
Hyatt Ziva Puerto Vallarta,89.3,Family,"$4,799.40","$6,696.87",1.94,4,,4.5,D,8,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 31m,Hyatt,"Business, Quiet","Beach, Kids Club, Heated Pool, Gym, Diving, Buffet, Swim Up Bar, Tennis, Fishing, Spa, Babysitting, Adult Pool, Evening Entertainment, Wi-Fi Free","Adults Only Rooms, Swim Up Rooms, Plunge Pool Rooms",,Can Request,1 King or 2 Double,TRUE,335,1969,2014,11
The Royal Cancun All Suites Resort,89.3,Family,"$4,803.34","$6,702.36",1.94,NYR,,4,,6,,Mexico,Cancun,Cancun,TRUE,0h 26m,Royal Resorts,"Charming, Mid-Range","Beach, Kids Club, Heated Pool, Gym, Bicycles Available, Tennis, Babysitting, Buffet, Swim Up Bar, Diving, Snorkelling, Fishing, Wi-Fi Free","2 Bedroom Suites, Beach Front Rooms",,,1 King and 1 Double Murphy and 2 Single,FALSE,201,1990,,
Breathless Cabo San Lucas Resort & Spa,89.3,Adults Only,"$5,019.00","$7,003.29",1.85,4,,4.5,D,7,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 41m,Hyatt,"Mountain View, Trendy","Beach, Heated Pool, Gym, Buffet, Fishing, Spa, Room Service, Evening Entertainment, Nightclub, Wi-Fi Free",,Great for Parties,,1 King or 2 Double,FALSE,169,2015,,5
Hotel Riu Palace Jamaica,89.3,Adults Only,"$5,050.36","$7,047.05",1.84,,,5,,7,,Jamaica,Montego Bay,Sangster,TRUE,0h 7m,Riu,"Modern, Quiet","Beach, Buffet, Diving, Watersports Equipment Rentals, Evening Entertainment, Gym, Swim Up Bar, Snorkelling, Windsurfing, Nightclub",,Great for Parties,,1 King or 2 Double,FALSE,238,2008,2013,4
Iberostar Waves Cozumel,89.3,Family,"$5,417.69","$7,559.60",1.72,,,5,,6,,Mexico,Cozumel,Cozumel,TRUE,0h 27m,IHG,"Mid-Range, Family Resort","Beach, Kids Club, Gym, Diving, Swim Up Bar, Snorkelling, Evening Entertainment, Spa, Babysitting, Buffet, Tennis","2 Bedroom Suites, Family Suite, Beach Front Rooms, Villas",Great Food,Yes,1 King or 2 Double,FALSE,239,1999,2015,
Mahekal Beach Resort (No TV),89.3,Family,"$5,472.78","$7,636.47",1.70,NYR,,4,,7,No TV,Mexico,Playa del Carmen,Cancun,TRUE,0h 48m,,"Value, Park View","Beach, Gym, Bicycles Available, Yoga Classes, Buffet, Spa, Babysitting, Room Service, Swim Up Bar, Evening Entertainment, Pets Allowed","Beach Front Rooms, Plunge Pool Rooms",,,2 Queen,FALSE,122,1982,2013,3
Sls Playa Mujeres,89.3,Family,"$6,306.00","$8,799.11",1.47,,,5,,NYR,,Mexico,Punta Sam,Cancun,TRUE,0h 35m,,"Business, Romantic","Beach, Heated Pool, Gym, Bicycles Available, Yoga Classes, Room Service, Swim Up Bar, Fishing, Pets Allowed, Spa, Babysitting, Adult Pool, Buffet, Diving, Golf Course, Evening Entertainment, Nightclub, Kids Club, Wi-Fi Free, Waterpark For Little Kids",2 Bedroom Suites,Great Food,,2 Queen,FALSE,498,2024,,5
Turquoize at Hyatt Ziva Cancun,89.3,Adults Only,"$7,182.00","$10,021.44",1.29,4,,5,F,8,,Mexico,Cancun,Cancun,TRUE,0h 28m,Hyatt,"Luxury, Charming","Beach, Spa, Restaurants Don't Require Reservations, Wi-Fi Free",,Great Food,,1 King or 2 Double,TRUE,146,2016,,
Renaissance Wind Creek Aruba Resort,89.3,Family,"$10,257.28","$14,312.55",0.91,4,,4,,7,,Aruba,Aruba,Reina Beatrix,TRUE,0h 7m,Marriott,"Modern, Trendy","Beach, Gym, Casino, Yoga Classes, Buffet, Diving, Fishing, Adult Pool, Room Service, Snorkelling, Evening Entertainment, Spa, Wi-Fi Free",Adults Only Rooms,,,1 King or 2 Double,FALSE,555,1989,2014,6
Binniguenda Huatulco,89.0,Family,"$2,018.81","$2,816.96",4.46,,,4,,NYR,,Mexico,Huatulco,Huatulco,TRUE,0h 20m,,"Family, Green","Beach, Gym, Evening Entertainment, Babysitting, Kids Club, Buffet, Nightclub, Wi-Fi Free",2 Bedroom Suites,,,1 King or 2 Double,FALSE,107,,2012,3
Resort All Inclusive Arcobaleno (Non Refundable),89.0,Family,"$2,229.41","$3,110.82",4.04,,,4,,,Non Refundable,Brazil,Porto Seguro,Porto Seguro,FALSE,0h 16m,,"Family, Family Resort","Gym, Buffet, Swim Up Bar, Hiking, Beach, Adult Pool, Tennis, Evening Entertainment, Kids Club",,,,"1 Queen, 1 Double, 1 Single",FALSE,94,,,2
Hotel Riu Latino,89.0,Adults Only,"$2,705.64","$3,775.33",3.33,,,5,,NYR,,Mexico,Playa Mujeres,Cancun,TRUE,0h 40m,Riu,"Mid-Range, Ocean View","Beach, Gym, Buffet, Evening Entertainment, Nightclub, Spa, Swim Up Bar, Restaurants Don't Require Reservations, Wi-Fi Free","Swim Up Rooms, Family Suite",Great for Parties,,1 King or 2 Twin,TRUE,594,2022,,5
Sanctuary at Grand Memories Holguin,89.0,Adults Only,"$2,800.00","$3,906.99",3.21,,,5,,,,Cuba,Holguin,Holguin,TRUE,1h 55m,,"Business, Ocean View","Beach, Gym, Yoga Classes, Buffet, Windsurfing, Evening Entertainment, Spa, Room Service, Swim Up Bar, Tennis, Nightclub, Wi-Fi Free",,,,1 King or 2 Double,FALSE,430,2020,,
Hotel Privilege Aluxes Isla Mujeres,89.0,Adults Only,"$2,817.84","$3,931.89",3.19,,,5,,8,,Mexico,Isla Mujeres,Cancun,TRUE,1h 8m,,"City View, Business","Beach, Gym, Diving, Room Service, Buffet, Swim Up Bar, Fishing, Spa, Wi-Fi Free",Swim Up Rooms,,,1 King,TRUE,124,2009,,5
Hotel Riu Playacar,89.0,Family,"$2,966.18","$4,138.87",3.03,,,4.5,,6,,Mexico,Playa del Carmen,Cancun,TRUE,0h 57m,Riu,"Family, Family Resort","Beach, Kids Club, Gym, Diving, Spa, Babysitting, Buffet, Swim Up Bar, Evening Entertainment, Restaurants Don't Require Reservations, Wi-Fi Paid, Waterpark For Little Kids",,,,1 King or 2 Small Double,FALSE,396,2000,2015,3
Hyatt Vivid Grand Island,89.0,Adults Only,"$3,549.00","$4,952.11",2.54,,,4.5,B,NYR,,Mexico,Cancun,Cancun,TRUE,0h 21m,,"Romantic, Business","Gym, Buffet, Evening Entertainment, Spa, Swim Up Bar, Wi-Fi Free",,,,1 King or 2 Double,TRUE,400,2024,,
Secrets Vallarta Bay Puerto Vallarta ,89.0,Adults Only,"$3,843.00","$5,362.35",2.34,4,,5,C,8,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 13m,Hyatt,"Green, Modern","Beach, Heated Pool, Gym, Tennis, Buffet, Spa, Room Service, Swim Up Bar, Evening Entertainment, Nightclub, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,,,1 King or 2 Double,TRUE,271,2012,2018,15
Dreams Royal Beach Punta Cana,89.0,Family,"$3,920.00","$5,469.79",2.30,4,,4.5,B,NYR,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 22m,Hyatt,"Modern, Family Resort","Beach, Kids Club, Teen Club, Lazy River, Kids Club for Under 4, Gym, Casino, Yoga Classes, Room Service, Swim Up Bar, Diving, Snorkelling, Evening Entertainment, Babysitting, Buffet, Tennis, Nightclub, Spa, Restaurants Don't Require Reservations, Waterpark For Big Kids","Family Suite, Swim Up Rooms, Plunge Pool Rooms",,Yes,1 King or 2 Double,FALSE,540,,2020,3
Dreams Flora Resort & Spa,89.0,Family,"$4,123.00","$5,753.05",2.18,4,,5,B,NYR,,Dominican Republic,Cabeza De Toro,Punta Cana,TRUE,0h 22m,Hyatt,"Business, Mid-Range","Beach, Kids Club, Teen Club, Kids Club for Under 4, Gym, Evening Entertainment, Babysitting, Buffet, Nightclub, Spa, Restaurants Don't Require Reservations, Wi-Fi Free, Waterpark For Big Kids","Family Suite, Swim Up Rooms",Great Food,Yes,1 King or 2 Double,FALSE,524,1997,2004,3
El Dorado Seaside Suites,89.0,Adults Only,"$4,698.00","$6,555.38",1.92,4,,4,,7,,Mexico,El Dorado,Cancun,TRUE,1h 8m,,"Modern, Trendy","Beach, Gym, Tennis, Swim Up Bar, Evening Entertainment, Buffet, Nightclub, Spa, Wi-Fi Paid",Swim Up Rooms,,,1 King or 2 Double,TRUE,568,1994,,6
Fiesta Americana Condesa Cancun All Inclusive,89.0,Family,"$4,701.24","$6,559.90",1.91,3,,3,,8,,Mexico,Cancun,Cancun,TRUE,0h 20m,Fiesta Americana Travelty,"Family, Family Resort","Beach, Kids Club, Pool Slide, Water Feature, Gym, Diving, Buffet, Fishing, Spa, Yoga Classes, Room Service, Swim Up Bar, Evening Entertainment, Waterpark For Little Kids","Family Suite, Plunge Pool Rooms, 2 Bedroom Suites",,,1 King or 2 Double,FALSE,507,1989,2017,8
Secrets Papagayo Costa Rica,89.0,Adults Only,"$4,823.00","$6,729.80",1.87,4,,4.5,D,9,,Costa Rica,Gulf of Papagayo,Liberia,TRUE,0h 23m,Hyatt,"Mountain View, Modern","Beach, Heated Pool, Gym, Diving, Swim Up Bar, Tennis, Fishing, Buffet, Evening Entertainment, Spa, Restaurants Don't Require Reservations",Plunge Pool Rooms,Great Food,,1 King or 2 Double,FALSE,202,,2010,1
The Fives Oceanfront Puerto Morelos,89.0,Family,"$5,469.00","$7,631.20",1.65,,,4,,7,,Mexico,Puerto Morelos,Cancun,TRUE,0h 27m,The Fives Hotels,"City View, Boutique","Beach, Gym, Bicycles Available, Diving, Windsurfing, Spa, Yoga Classes, Watersports Equipment Rentals, Fishing, Wi-Fi Free",2 Bedroom Suites,,Can't Book Two Rooms,1 King and 1 Sofa Bed,FALSE,94,2019,,7
Sandals South Coast (Couples only),89.0,Adults Only,"$6,154.80","$8,588.13",1.46,4,,5,,NYR,Couples Only,Jamaica,White House,Sangster,TRUE,1h 20m,Sandals Resorts International,"Quiet, Modern","Beach, Gym, Diving, Buffet, Evening Entertainment, Spa, Room Service, Swim Up Bar, Tennis, Nightclub, Wi-Fi Paid","Beach Front Rooms, Swim Up Rooms, Villas, Plunge Pool Rooms, Over Water Rooms",,,1 King,FALSE,372,2005,2020,
Princess Grand Jamaica,89.0,Family,"$6,987.75","$9,750.39",1.29,,,5,,NYR,Max 3 per Room,Jamaica,Green Island,Sangster,TRUE,1h 4m,Princess Hotels,"Business, Ocean View","Beach, Kids Club, Gym, Swim Up Bar, Evening Entertainment, Babysitting, Yoga Classes, Buffet, Nightclub, Spa, Wi-Fi Free, Waterpark For Little Kids, Waterpark For Big Kids","2 Bedroom Suites, Family Suite, Swim Up Rooms",,Can't Book Two Rooms,2 Queen,FALSE,590,2024,,4
Sandals Royal Curacao (Couples only),89.0,Adults Only,"$7,480.60","$10,438.09",1.20,,,5,,NYR,Couples Only,Curaçao,Nieuwpoort,Aeropuerto Hato,TRUE,0h 44m,Sandals Resorts International,"Luxury, Romantic","Beach, Gym, Diving, Buffet, Nightclub, Swim Up Bar, Snorkelling, Evening Entertainment, Spa, Wi-Fi Free","Beach Front Rooms, Swim Up Rooms, Plunge Pool Rooms, Villas",,,1 King,FALSE,350,2010,2021,4
"El Mangroove, Autograph Collection",89.0,Family,"$10,591.49","$14,778.89",0.85,4,,4,,7,,Costa Rica,Playa Panama,Liberia,TRUE,0h 23m,Marriott,"Modern, Trendy","Gym, Bicycles Available, Buffet, Snorkelling, Beach, Watersports Equipment Rentals, Wi-Fi Free","2 Bedroom Suites, Villas, Plunge Pool Rooms",,,2 Queen,FALSE,121,2013,2023,2
Royal Hideaway Playacar,88.8,Adults Only,"$2,660.00","$3,711.64",3.31,4,Recommended,5,,9,,Mexico,Playa del Carmen,Cancun,TRUE,0h 52m,Barcelo,"Romantic, Great View","Beach, Gym, Snorkelling, Tennis, Evening Entertainment, Spa, Wi-Fi Free",Villas,,,1 King or 2 Twin,FALSE,201,1999,2016,3
Paradisus Los Cabos - Adults only - The Leading Hotels of the World,88.8,Adults Only,"$4,123.00","$5,753.05",2.13,4,,5,,8,,Mexico,San Jose del Cabo,Los Cabos,TRUE,0h 27m,Melia,"Bay View, Family Resort","Beach, Heated Pool, Gym, Diving, Room Service, Buffet, Swim Up Bar, Evening Entertainment, Nightclub, Spa, Wi-Fi Free",Swim Up Rooms,,,1 King or 2 Double,FALSE,350,1989,2016,5
Jewel Grande Montego Bay Resort & Spa,88.8,Family,"$4,400.00","$6,139.56",2.00,4,,4,C,7,,Jamaica,Montego Bay,Sangster,TRUE,0h 14m,Hyatt,"Family, Value","Kids Club, Gym, Room Service, Evening Entertainment, Nightclub, Beach, Babysitting, Buffet, Swim Up Bar, Spa, Wi-Fi Free","2 Bedroom Suites, Plunge Pool Rooms",,,2 Double,TRUE,217,,2018,
Coconut Bay Beach Resort & Spa,88.8,Family,"$4,585.00","$6,397.70",1.92,3,,4,,7,,Saint Lucia,Vieux Fort,Hewanorra,FALSE,0h 6m,,"Quiet, Modern","Beach, Kids Club, Teen Club, Lazy River, Pool Slide, Water Feature, Gym, Diving, Yoga Classes, Adult Pool, Buffet, Swim Up Bar, Horseback Riding, Tennis, Windsurfing, Fishing, Nightclub, Babysitting, Hiking, Snorkelling, Evening Entertainment, Spa, Wi-Fi Free, Waterpark For Little Kids, Waterpark For Big Kids","2 Bedroom Suites, Adults Only Rooms, Family Suite, Plunge Pool Rooms",,Yes,1 King or 2 Queen,FALSE,250,1970,2024,4
Villa del Arco Beach Resort & Spa,88.8,Family,"$5,180.00","$7,227.94",1.70,3,,4.5,,6,,Mexico,Cabo San Lucas,Los Cabos,TRUE,0h 40m,The Villa Group,"Family, Green","Beach, Kids Club, Lazy River, Heated Pool, Gym, Diving, Evening Entertainment, Babysitting, Fishing, Spa, Wi-Fi Free",2 Bedroom Suites,,,1 King or 2 Queen,FALSE,219,2006,2013,8
Iberostar Selection Rose Hall Suites,88.8,Family,"$5,389.90","$7,520.82",1.63,4,,5,,7,,Jamaica,Montego Bay,Sangster,TRUE,0h 22m,IHG,"Family, Classic","Beach, Kids Club, Lazy River, Gym, Casino, Buffet, Swim Up Bar, Diving, Evening Entertainment, Nightclub, Babysitting, Tennis, Fishing, Spa, Waterpark For Little Kids","2 Bedroom Suites, Family Suite",,,1 King or 2 Double,FALSE,319,2008,,4
Garza Blanca Resort & Spa Cancun,88.8,Family,"$6,907.00","$9,637.72",1.27,,,5,,NYR,,Mexico,Punta Sam,Cancun,TRUE,0h 32m,Tafer Hotels & Resorts,"Business, Romantic","Beach, Kids Club, Heated Pool, Gym, Snorkelling, Yoga Classes, Room Service, Swim Up Bar, Evening Entertainment, Buffet, Spa, Wi-Fi Free","2 Bedroom Suites, Swim Up Rooms",Great Food,,1 King or 2 Queen,TRUE,452,2020,,10
The Reef 28,88.7,Adults Only,"$2,498.07","$3,485.69",3.48,,,4,,7,,Mexico,Playa del Carmen,Cancun,TRUE,0h 47m,,"City View, Trendy","Heated Pool, Gym, Watersports Equipment Rentals, Yoga Classes, Room Service, Diving, Buffet, Nightclub, Spa, Wi-Fi Free",,,,1 King or 2 Queen,TRUE,120,2017,,5
Grand Palladium Kantenah Resort & Spa,88.7,Family,"$2,674.29","$3,731.58",3.25,4,,5,,6,,Mexico,Akumal,Cancun,TRUE,1h 6m,Wyndham Hotels,"Quiet, Ocean View","Beach, Kids Club, Teen Club, Kids Club for Under 4, Gym, Diving, Buffet, Swim Up Bar, Tennis, Spa, Babysitting, Adult Pool, Evening Entertainment, Waterpark For Little Kids","Beach Front Rooms, Villas, Plunge Pool Rooms, Swim Up Rooms",,,1 King or 2 Double,FALSE,423,2002,2006,2
Barcelo Maya Colonial - All Inclusive,88.7,Family,"$3,434.13","$4,791.83",2.53,3,,4,,6,,Mexico,Puerto Aventuras,Cancun,TRUE,1h 5m,Barcelo,"Quiet, Mid-Range","Beach, Kids Club, Teen Club, Flowrider, Gym, Diving, Tennis, Evening Entertainment, Nightclub, Babysitting, Buffet, Swim Up Bar, Mini Golf, Spa, Wi-Fi Paid, Waterpark For Little Kids, Waterpark For Big Kids",Family Suite,,,1 King or 2 Double,FALSE,481,2005,,3
Izla Hotel,88.7,Family,"$3,904.53","$5,448.21",2.23,,,4,,NYR,,Mexico,Isla Mujeres,Cancun,TRUE,1h 17m,,"Trendy, Business","Gym, Swim Up Bar, Spa, Beach, Adult Pool, Room Service, Wi-Fi Free",,,,2 Queen,FALSE,123,2017,,
Hotel Riu Palace Kukulkan,88.7,Adults Only,"$4,064.34","$5,671.20",2.14,,,5,,NYR,,Mexico,Cancun,Cancun,TRUE,0h 22m,Riu,"Romantic, Mid-Range","Beach, Gym, Yoga Classes, Buffet, Swim Up Bar, Evening Entertainment, Spa, Restaurants Don't Require Reservations, Wi-Fi Free",,Great for Parties,,1 King or 2 Double,TRUE,400,2022,,
Iberostar Selection Playa Mita,88.7,Family,"$4,076.16","$5,687.69",2.13,4,,5,,6,,Mexico,Punta de Mita,Ordaz,TRUE,0h 52m,IHG,"Modern, Family Resort","Beach, Kids Club, Teen Club, Gym, Diving, Swim Up Bar, Tennis, Nightclub, Babysitting, Buffet, Golf Course, Evening Entertainment, Spa, Wi-Fi Free, Waterpark For Little Kids","2 Bedroom Suites, Family Suite, Beach Front Rooms",,,1 King or 2 Double,FALSE,452,2013,,4
Secrets Bahia Mita Surf & Spa Resort,88.7,Adults Only,"$4,130.00","$5,762.82",2.11,4,,4.5,C,NYR,,Mexico,Punta de Mita,Ordaz,TRUE,0h 35m,Hyatt,"Ocean View, Business","Beach, Heated Pool, Gym, Buffet, Nightclub, Pets Allowed, Room Service, Swim Up Bar, Evening Entertainment, Spa, Restaurants Don't Require Reservations, Wi-Fi Free",,Great Food,,1 King or 2 Queen,FALSE,278,2020,,8
Hotel Riu Palace Peninsula,88.7,Family,"$4,771.20","$6,657.52",1.82,,,5,,7,,Mexico,Cancun,Cancun,TRUE,0h 28m,Riu,"Modern, Trendy","Beach, Kids Club, Gym, Diving, Adult Pool, Buffet, Spa, Babysitting, Swim Up Bar, Evening Entertainment, Restaurants Don't Require Reservations",Adults Only Rooms,Great for Parties,,1 King or 2 Small Double,TRUE,562,2012,,17
Generations Riviera Maya Resort,88.7,Family,"$6,082.00","$8,486.55",1.43,4,,4.5,,8,,Mexico,Riviera Maya,Cancun,TRUE,0h 29m,Lomas Hospitality,"Modern, Business","Beach, Kids Club, Lazy River, Gym, Buffet, Swim Up Bar, Spa, Babysitting, Evening Entertainment","2 Bedroom Suites, Swim Up Rooms",,,1 King and 2 Queen Sofa Bed,FALSE,162,2013,,6
Sandals Grande St Lucian (Couples only),88.7,Adults Only,"$7,371.00","$10,285.16",1.18,4,,5,,NYR,Couples Only,Saint Lucia,Gros Islet,George F. L. Charles,FALSE,0h 25m,Sandals Resorts International,"Mountain View, Great View","Beach, Gym, Diving, Room Service, Tennis, Nightclub, Buffet, Swim Up Bar, Snorkelling, Evening Entertainment, Spa, Wi-Fi Free","Swim Up Rooms, Over Water Rooms",Great Beach,,1 King,FALSE,311,2000,2015,
